inventarisnummer|Straat|Thv|X|Y|GSM|Deelgemeente
FT1|ESSENBURGSNGL|9|51,9229316711|4,4613099098||Delfshaven
FT10|PANNEKOEKSTR|97|51,9220695496|4,4888300896||Centrum
FT100|SCHIEKD|155|51,9263496399|4,4761900902||Noord
FT101|SCHIEKD|55|51,9297218323|4,4713802338||Noord
FT102|NOORDSNGL|72|51,9301986694|4,4789199829||Noord
FT103|SCHEPENSTR|48|51,9301490784|4,4662599564||Noord
FT104|SCHEPENSTR|34|51,9305992126|4,4664697647||Noord
FT105|S GRAVENDYKWAL|24|51,9186096191|4,4632601738||Centrum
FT106|K BAJONETSTR|4|51,9184913635|4,464799881||Centrum
FT107|BREITNERSTR|115|51,9130401611|4,467279911||Centrum
FT108|MAASKD|146|51,9118690491|4,4904699326||Feijenoord
FT109|AKELEISTR|17|51,9213600159|4,463809967||Centrum
FT11|KORTENAERSTR|1|51,9138908386|4,4781498909||Centrum
FT110|ROCHUSSENSTR|105|51,9126281738|4,4662899971||Centrum
FT111|W DE WITHHOF|4|51,9159889221|4,4792599678||Centrum
FT112|ORCHIDEESTR|4|51,9432296753|4,4739198685||Hillegersberg
FT113|SAENREDAMPLN|7|51,9385299683|4,4222102165||Overschie
FT114|SAENREDAMPLN|7|51,9385299683|4,4222202301||Overschie
FT115|GR FLORISSTR|22|51,9208602905|4,4591698647||Delfshaven
FT116|GR FLORISSTR|100|51,9191398621|4,4569702148||Delfshaven
FT117|GR FLORISSTR|50|51,9202194214|4,4583601952||Delfshaven
FT118|BEUKELSDK|14|51,9217300415|4,4590702057||Delfshaven
FT119|C DE VRIESELN|64|51,9156303406|4,4595398903||Delfshaven
FT12|ENGELSESTR|135|51,91588974|4,4172301292||Delfshaven
FT120|MATHENESSERLN|244|51,9145011902|4,4616398811||Delfshaven
FT121|MATHENESSERLN|362|51,9134216309|4,4525098801||Delfshaven
FT122|SCHIETBAANLN|182|51,9156684875|4,4593000412||Delfshaven
FT123|V CITTERSSTR|44|51,9183692932|4,4462099075||Delfshaven
FT124|MATHENESSERLN|424|51,9141998291|4,4494400024||Delfshaven
FT125|BURG MEINESZLN|9|51,9174880981|4,4538698196||Delfshaven
FT126|ESSENBURGSNGL|125|51,9212989807|4,4464998245||Delfshaven
FT127|MATHENESSERDK|390|51,9116706848|4,4468297958||Delfshaven
FT128|STATIONSSNGL|||||
FT129|NOORDSNGL|146|51,9313812256|4,4759001732||Noord
FT13|ENGELSESTR|135|51,91588974|4,4172401428||Delfshaven
FT130|NOORDERHAVENKD|111|51,93309021|4,4603600502||Noord
FT131|NOORDERHAVENKD|113|51,9330482483|4,4604001045||Noord
FT132|LUMEYSTR|13|51,9278106689|4,4627900124||Noord
FT133|BOISOTSTR|16|51,9277381897|4,462749958||Noord
FT134|STATENSNGL|136|51,926651001|4,4566898346|0629476301|Noord
FT135|SCHIEBROEKSELN|54|51,9367713928|4,4753499031||Noord
FT136|SCHIEBROEKSELN|63|51,9363288879|4,475689888||Noord
FT137|PUTSELN|218|51,8974113464|4,4963998795||Feijenoord
FT138|DORDTSELN|92|51,8948097229|4,4941301346||Feijenoord
FT139|PUTSEBOCHT|194|51,8926811218|4,4946498871|0633184407|Feijenoord
FT14|C DE VRIESELN|41|51,9164505005|4,459209919|0629476718|Delfshaven
FT140|MAASKD|137|51,9120903015|4,4908399582||Feijenoord
FT141|MAASKD|80|51,9144287109|4,4947800636||Feijenoord
FT142|MAASKD|137|51,9120903015|4,4908399582||Feijenoord
FT143|MAASKD|102|51,9134902954|4,4931998253||Feijenoord
FT144|GOEDE HOOPSTR|40|51,8984298706|4,4969801903||Feijenoord
FT145|DIERGAARDESNGL|90|51,9213409424|4,4693098068|mau|Centrum
FT146|DIERGAARDESNGL|90|51,9213409424|4,4693198204||Centrum
FT147|KRALINGSE PLASLN|91|51,9317893982|4,5084700584||Kralingen/Crooswijk
FT148|CROOSWYKSESNGL|16|51,9297409058|4,4896597862||Kralingen/Crooswijk
FT149|JERICHOLN|81|51,9301300049|4,5062999725||Kralingen/Crooswijk
FT15|C DE VRIESELN|41|51,9164505005|4,4592199326||Delfshaven
FT150|1E JERICHOSTR|93|51,9296798706|4,5064902306||Kralingen/Crooswijk
FT151|1E JERICHOSTR|91A|51,929649353|4,5066099167||Kralingen/Crooswijk
FT152|DORPSWG|53|51,8900718689|4,4724302292||Charlois
FT153|OOSTVOORNSESTR|9|51,8907089233|4,4685897827||Charlois
FT154|SAFTLEVENSTR|2|51,9133491516|4,4654998779||Centrum
FT155|V BYLANDTPLAATS|36|51,9190101624|4,4762401581||Centrum
FT156|SCHEEPSTIMMERM LN|27|51,9102592468|4,4780201912||Centrum
FT157|KORTENAERSTR|32|51,9135284424|4,4767198563||Centrum
